playerID,AB,H,AVE
bairdo01,52,5,0.09615384615
baislje01,43,11,0.2558139535
bakelje01,727,111,0.1526822558
bakeral01,4,0,0
bakerbi01,588,145,0.2465986395
bakerbo01,7,1,0.1428571429
bakerch01,57,8,0.1403508772
bakerch02,146,27,0.1849315068
bakerda01,20,5,0.25
bakerde01,302,63,0.2086092715
bakerdo01,246,51,0.2073170732
bakerdu01,7117,1981,0.2783476184
bakerer01,2,0,0
bakerfl01,2280,573,0.2513157895
bakerfr01,5984,1838,0.3071524064
bakerfr02,353,82,0.2322946176
bakerfr03,288,55,0.1909722222
bakerge01,474,74,0.1561181435
bakerge02,2230,590,0.264573991
bakerho01,82,18,0.2195121951
bakerja01,26,3,0.1153846154
bakerje01,29,3,0.1034482759
bakerje03,1793,474,0.2643614055
bakerjo01,1076,266,0.2472118959
bakerki01,166,35,0.2108433735
bakerne01,6,1,0.1666666667
bakerno01,106,18,0.1698113208
bakerph01,817,212,0.2594859241
bakersc02,32,3,0.09375
bakerto01,58,18,0.3103448276
bakerto02,3,0,0
bakopa01,2202,508,0.2306993642
balazjo01,162,39,0.2407407407
balbost01,3120,714,0.2288461538
balcebo01,2,0,0
baldero01,1910,531,0.2780104712
baldsja01,78,7,0.08974358974
baldwbi01,117,27,0.2307692308
baldwda01,15,1,0.06666666667
baldwfr01,20,2,0.1
baldwha01,11,4,0.3636363636
baldwhe01,16,5,0.3125
baldwja01,44,4,0.09090909091
baldwje01,8,0,0
baldwki01,1677,371,0.221228384
baldwla01,494,114,0.2307692308
baldwma01,1155,188,0.1627705628
baldwof01,6,0,0
baldwre01,87,21,0.2413793103
baldwri01,22,6,0.2727272727
balejo01,17,2,0.1176470588
balenmi01,219,40,0.1826484018
balenwl01,511,113,0.2211350294
balesco01,28,4,0.1428571429
balesle01,43,4,0.09302325581
balfogr01,2,0,0
ballaje01,13,5,0.3846153846
ballar01,84,16,0.1904761905
balleja01,14,1,0.07142857143
ballepe01,9,1,0.1111111111
ballima01,5,1,0.2
ballje01,4,1,0.25
ballji01,51,7,0.137254902
ballne01,1613,404,0.2504649721
ballowi01,93,5,0.05376344086
balsato01,5,1,0.2
bambege01,2,0,0
bambeha01,12,1,0.08333333333
banckst01,72,11,0.1527777778
bancrda01,7182,2004,0.2790309106
bandaan01,5,0,0
bandoch01,1284,292,0.2274143302
bandosa01,7060,1790,0.2535410765
bandyje01,444,97,0.2184684685
baneydi01,16,2,0.125
banisje01,1,1,1
bankhda01,45,10,0.2222222222
bankhsc01,9,2,0.2222222222
banksbi01,14,3,0.2142857143
banksbr01,495,122,0.2464646465
bankser01,9421,2583,0.2741747161
banksev01,36,5,0.1388888889
banksge01,201,44,0.2189054726
banksjo01,27,3,0.1111111111
bankswe01,59,12,0.2033898305
bankswi01,68,12,0.1764705882
bannial01,3007,811,0.2697040239
bannibr01,29,8,0.275862069
bannifl01,80,14,0.175
banniji01,1,0,0
bannoji01,1438,460,0.3198887344
bannoto01,166,44,0.265060241
bantaja01,61,7,0.1147540984
bantzbr01,2,0,0
banuema01,3,0,0
barajro01,3460,812,0.2346820809
barbajo01,1,0,0
barbare01,1,0,0
barbawa01,1777,462,0.2599887451
barbebr01,1434,388,0.2705718271
barbebr02,8,1,0.125
barbech01,204,41,0.2009803922
barbeda01,374,92,0.2459893048
barbefr01,5,0,0
barbeja01,712,160,0.2247191011
barbest01,563,65,0.1154529307
barbest02,7,0,0
barbetu01,1531,442,0.288700196
barbiji01,82,23,0.2804878049
barclcu01,64,15,0.234375
barclge01,1538,382,0.2483745124
bardda01,2,0,0
bardebr01,175,37,0.2114285714
bardjo01,1778,452,0.2542182227
barera01,5,1,0.2
barfije01,4759,1219,0.2561462492
barfijo02,1012,267,0.2638339921
barfocl01,76,20,0.2631578947
bargagr01,9,1,0.1111111111
bargecy01,428,97,0.226635514
barkeal01,4,1,0.25
barkean01,46,14,0.3043478261
barkegl01,164,38,0.2317073171
barkeke01,285,71,0.249122807
barkele01,63,3,0.04761904762
barkera01,318,68,0.213836478
barkese01,2,0,0
barklre01,163,43,0.263803681
barklsa01,2329,602,0.2584800343
barlomi01,3,0,0
barloto01,604,175,0.2897350993
barmebr01,5,1,0.2
barmecl01,3805,932,0.2449408673
barnaba01,664,154,0.2319277108
barnach01,27,7,0.2592592593
barneau01,479,115,0.2400835073
barnebi01,30,6,0.2
barnebo01,2,0,0
barnebr01,107,15,0.1401869159
barnebr02,1172,284,0.2423208191
barneda01,2536,625,0.2464511041
barneed01,272,61,0.2242647059
barneep01,7,1,0.1428571429
barnefr01,7,2,0.2857142857
barnefr02,10,1,0.1
barneje01,913,195,0.2135815991
barnejo01,58,14,0.2413793103
barnela01,78,12,0.1538461538
barnelu01,74,18,0.2432432432
barnere01,836,225,0.269138756
barnere02,201,33,0.1641791045
barnero01,2391,860,0.3596821414
barnesa01,11,2,0.1818181818
barnesk01,614,159,0.2589576547
barnevi01,371,40,0.1078167116
barnhcl01,2673,788,0.2947998504
barnhle01,5,1,0.2
barnhtu01,1503,382,0.25415835
barnhvi01,204,55,0.2696078431
barnibi01,321,55,0.1713395639
barnige01,18,0,0
barnwch01,30,2,0.06666666667
baronda01,9,1,0.1111111111
barondi01,6,0,0
baronst01,16,1,0.0625
barracu01,163,33,0.2024539877
barrage01,62,18,0.2903225806
barraky01,2,0,0
barrbo01,633,117,0.1848341232
barre01,34,7,0.2058823529
barrebi01,13,2,0.1538461538
barrebi02,2395,690,0.2881002088
barrebo01,650,169,0.26
barredi01,222,40,0.1801801802
barrefr01,54,9,0.1666666667
barrefr02,144,31,0.2152777778
barreji01,3306,962,0.2909860859
barrejo01,1811,454,0.2506902264
barrema01,19,1,0.05263157895
barrema02,3378,938,0.2776791001
barremi01,3512,925,0.2633826879
barrere01,398,54,0.135678392
barreti01,2,0,0
barreto01,84,17,0.2023809524
barrija01,5,0,0
barrijo01,19,3,0.1578947368
barrji01,513,83,0.1617933723
barrocu01,99,19,0.1919191919
barrofr01,86,13,0.1511627907
barrore01,21,4,0.1904761905
barroto01,190,54,0.2842105263
barrsc01,107,12,0.1121495327
barryed01,23,2,0.08695652174
barryha01,4,0,0
barryja01,4146,1009,0.2433671008
barryje01,217,53,0.2442396313
barryke01,2,0,0
barryri01,32,6,0.1875
barrysh01,4014,1073,0.2673143996
bartedi01,7629,2165,0.2837855551
barteki01,416,90,0.2163461538
barthji01,3,0,0
barthjo01,3,1,0.3333333333
barthle01,8,1,0.125
bartito01,355,78,0.2197183099
bartlbi01,25,3,0.12
bartlbo01,21,1,0.04761904762
bartlir01,46,8,0.1739130435
bartlja01,3141,849,0.270296084
bartobo01,1049,237,0.2259294566
bartobr01,153,41,0.2679738562
bartocl01,1,1,1
bartoda01,47,12,0.2553191489
bartoda02,1744,431,0.2471330275
bartoha01,60,10,0.1666666667
bartovi01,373,87,0.2332439678
bartsch01,78,13,0.1666666667
basakch01,1,0,0
basgamo01,512,110,0.21484375
bashaal01,17,2,0.1176470588
bashlty01,1,0,0
bashowa01,10,2,0.2
basined01,602,147,0.2441860465
baskeji01,47,8,0.170212766
bassan01,38,4,0.1052631579
bassbr01,2,0,0
bassdi01,2,0,0
bassdo01,1,1,1
bassech01,3493,806,0.2307472087
bassich01,2,0,0
bassjo01,100,29,0.29
basske01,4839,1308,0.2703037818
bassljo01,2319,704,0.3035791289
bassno01,82,8,0.09756097561
bassra01,325,69,0.2123076923
bastaan01,8,0,0
bastich01,1806,342,0.1893687708
batchem01,1253,315,0.251396648
